Name,Elevation (m),lat,lon
Unknown,2032,47.43306,10.46286
Unknown,2379,47.3335777,10.3566516
Unknown,2336,47.3303209,10.3537455
Unknown,2393,47.3152446,10.3465729
Himmelhorn,2111,47.381963,10.3761505
Unknown,2291,47.305908,10.209781
Unknown,2289,47.311228,10.212451
Unknown,2023,47.277664,10.173189
Höfats Westgipfel,2257,47.36712,10.34845
Unknown,2330,47.279311,10.249325
Gratkopf,2172,47.43581,10.37313
Alpkopf,2102,47.3196564,10.2410107
Teufelsgrat,2648,47.3958358,11.0837236
Oberreintaldom,2371,47.4060619,11.1151897
Unterer Schüsselkarturm,2135,47.4001811,11.1109756
Nördliche Balkenspitze,2270,47.3875081,10.4313449
Krottenspitze,2551,47.3197905,10.3448279
Krummenstein,2088,47.32936,10.3217
Unknown,2005,47.4138914,10.3503549
Unknown,2120,47.31438,10.22496
Saubuckelkopf,2215,47.31423,10.22046
Östlicher Berg der guten Hoffnung,2415,47.29784,10.28743
Unknown,2072,47.32612,10.34391
Auf dem Hohen Bichel,2131,47.43878,10.38011
Großer Daumen Ostgipfel,2273,47.44237,10.38055
Unknown,2530,47.288035,10.276966
Sonnenberg,2029,47.37615,10.1262
Unknown,2035,47.2808885,10.1814553
Unknown,2270,47.309267,10.2967214
Höhlenkopf,2403,47.400017,11.0615952
Unknown,2782,47.4165622,10.9710116
Unknown,2041,47.360784,10.09723
Unknown,2066,47.359875,10.097628
Unknown,2010,47.39426,10.36572
Unknown,2222,47.386794,10.418388
Unknown,2625,47.4266791,10.9907164
Unknown,2191,47.4461109,10.3855562
